id,name,name1,address1
1242297993730719744,深圳气立可气动设备有限公司,深圳气立可气动设备有限公司,深圳市光明新区公明办事处上村社区莲塘工业城B区第12栋3楼B区
1242334860949848064,深圳市瑞能实业股份有限公司光明分公司,深圳市瑞能实业股份有限公司光明分公司,深圳市光明新区光明街道白花洞白花园路第二工业区八佰工业园B栋1-5楼
1242340123622768640,深圳市坤灿电子有限公司,深圳市坤灿电子有限公司,深圳市光明新区光明街道白花洞第一工业区合先达工业园5楼
1242340418331344896,深圳市坤灿电子有限公司,深圳市坤灿电子有限公司,深圳市光明新区光明街道白花洞第一工业区合先达工业园5楼
1242343255404707840,深圳市联全胶粘科技有限公司,深圳市联全胶粘科技有限公司,深圳市光明新区光明街道办白花洞第一工业区华尔特工业园D栋D-A302
1242345821685415936,深圳市拓达通电子有限公司,深圳市拓达通电子有限公司,深圳市光明新区光明街道白花洞社区第一工业区兴华雄科技园A7栋2楼东边
1242346661993250816,深圳市轻触科技有限公司,深圳市轻触科技有限公司,深圳市光明区光明街道白花社区第二工业区2号冠丰源厂房B区212
1242346906886078464,深圳市中诺同创科技有限公司,深圳市中诺同创科技有限公司,深圳市光明新区光明街道白花社区第一工业区华尔特工业园C栋四楼
1242348364679348224,深圳市泓意宝自动化设备有限公司,深圳市泓意宝自动化设备有限公司,深圳市光明新区光明街道白花洞观光路6号浩谷工业园4栋2楼
1242348956088795136,深圳市骏兴达科技有限公司,深圳市骏兴达科技有限公司,深圳市光明新区光明街道大外环路南侧汇得宝工业园二栋五楼
1242349355428478976,深圳市泰立达电气有限公司,深圳市泰立达电气有限公司,深圳市光明新区公明办事处上村社区莲塘工业城A区第10栋二楼
1242356050175197184,深圳市英唐电气技术有限公司,深圳市英唐电气技术有限公司,深圳市光明新区光明办事处第二工业区白花园路18号英唐科技产业园C栋厂房三楼南侧
1242357836881592320,深圳晟泰食品有限公司,深圳晟泰食品有限公司,深圳市光明区光明街道白花社区白花园路19号创轩工业园A栋四楼
1242357966435254272,艾莱凯特光电科技（深圳）有限公司,艾莱凯特光电科技（深圳）有限公司,深圳市光明新区光明街道大外环路南侧汇得宝工业厂房8栋5层
1242358813353312256,深圳市世纪开元科技有限公司,深圳市世纪开元科技有限公司,深圳市光明区光明街道白花社区第一工业区中信宝低碳技术产业园A1栋106号
1242359267160227840,深圳市金瑞康科技有限公司,深圳市金瑞康科技有限公司,深圳市光明新区光明街道白花社区第一工业区丽霖工业园厂房A栋1层
1242359947803492352,深圳市恒能达科技有限公司,深圳市恒能达科技有限公司,深圳市光明新区光明街道白花洞观光路11号金万利A座五楼
1242361051702362112,深圳市嵩祺纸业制品有限公司,深圳市嵩祺纸业制品有限公司,深圳市光明新区光明街道白花社区老收费站旁第二工业区第一栋一楼
1242361915192115200,深圳市朋宝鑫科技有限公司,深圳市朋宝鑫科技有限公司,深圳市光明新区光明街道观光路11号金万利工业园B栋四楼
1242362725829443584,深圳市昌晟包装制品有限公司,深圳市昌晟包装制品有限公司,深圳市光明新区光明街道白花社区富民大道第一工业区B11号骏豪工业园A栋二楼、B栋三楼
1242363642758823936,深圳市华亿东电子有限公司,深圳市华亿东电子有限公司,深圳市光明新区光明街道白花社区第一工业区华尔特工业园B栋2楼2号
1242364101150113792,深圳市威得利实业有限公司,深圳市威得利实业有限公司,深圳市光明区光明街道白花社区白花园路伟群光明工业区宿舍2栋厂房四层
1242364101544378368,深圳市明泰达精密机械有限公司,深圳市明泰达精密机械有限公司,深圳市光明新区光明街道大外环路南侧汇得宝工业园3栋二楼
1242364329852928000,深圳市优骏橡塑有限公司,深圳市优骏橡塑有限公司,深圳市光明新区光明街道办白花洞莲麻坑工业区1号利畅厂房2栋4楼
1242365038379925504,深圳梦不落科技有限公司,深圳梦不落科技有限公司,深圳市光明区光明街道白花社区第二工业区11号百艺盛大厦1003
1242376345137184768,深圳市锦坤物流有限公司,深圳市锦坤物流有限公司,深圳市龙华新区三合村亿金城大厦三楼
1242396274154536960,深圳市圣诺精密工业有限公司,深圳市圣诺精密工业有限公司,深圳市光明新区公明街道楼村鲤鱼河工业区振兴路17号四楼左侧
1242397340220784640,深圳市君道汽车用品有限公司,深圳市君道汽车用品有限公司,深圳市光明新区公明楼村第三工业区7栋B座二楼
1242400175893250048,深圳市华宏伟科技有限公司,深圳市华宏伟科技有限公司,深圳市光明新区公明街道楼村荔都路73号三楼B区
1242417097800155136,深圳市尚品佳源科技有限公司,深圳市尚品佳源科技有限公司,深圳市光明新区光明街道白花村第一工业区中信宝低碳产业园C栋4楼
1242419464067088384,深圳市雅特美设计印刷有限公司,深圳市雅特美设计印刷有限公司,深圳市光明新区白花社区富民大道第一工业区一号路B6雅特美工业园一层西、三层
1242602635463229440,深圳市汉高光电实业有限公司,深圳市汉高光电实业有限公司,深圳市光明新区光明街道白花社区第一工业区华尔特工业园D栋7楼
1242616916166574080,深圳凯盈兴业制衣有限公司,深圳凯盈兴业制衣有限公司,深圳市光明新区公明办事处楼村社区第二工业区·区同富裕工业园1号一、二楼
1242618196230406144,光明社区,深圳市光明区光明街道光明社区阳光义工协会,深圳市光明区华夏路40号(光明社区综合服务楼二楼202室)
1242625322088660992,深圳市兴鸿兴包装有限公司,深圳市兴鸿兴包装有限公司,深圳市光明新区新湖街道楼村社区鲤鱼河工业区振兴路38号C栋3楼B段
1242625661969891328,深圳市能鑫电子有限公司,深圳市能鑫电子有限公司,深圳市光明区新湖街道楼村社区荔都路81号一楼
1242625804408455168,深圳市裕盛达环保包装材料有限公司,深圳市裕盛达环保包装材料有限公司,深圳市宝安区公明街道楼村社区第一工业区木墩路5号C栋
1242626753160019968,深圳市笑纳包装有限公司,深圳市笑纳包装有限公司,深圳市光明新区公明街道楼村第一工业区灿博工业园D区D栋六楼A区
1242626798861156352,深圳市安康检测科技有限公司,,
1242627106236530688,深圳市星拓达科技有限公司,,
1242627121977753600,深圳市朝晖光电有限公司,,
1242627464404926464,深圳市晟德兴新能源科技有限公司,,
1242627573003845632,深圳市特华坚钢结构制造有限公司,,
1242627690586963968,深圳峻柯商贸有限公司,,
1242627780932272128,宏峰行化工（深圳）有限公司绿田胶水厂,,
1242627918824210432,华兴彩色印刷（深圳）有限公司,,
1242628257610727424,深圳市思博办公用品有限公司,,
1242629868424790016,深圳市希腾电器有限公司,,
1242629926335545344,立镇电子（深圳）有限公司,,
1242630050063319040,深圳市鸿隆包装制品有限公司,,
1242630169764560896,深圳劲飞电子有限公司,,
1242633401287049216,深圳市富鸿镜业有限公司,,
1242634251485052928,深圳市盛利鑫五金塑胶制品有限公司,,
1242634281663070208,深圳市信华自动化设备有限公司,,
1242634550509568000,盛立五金（深圳）有限公司,,
1242635490356625408,深圳市实用汽车检测设备有限公司,,
1242635823485026304,深圳市鑫茂精密科技有限公司,,
1242636482565373952,深圳市金成推库供应中心有限公司,,
1242636937450225664,深圳市恒鑫源橡塑制品有限公司,,
1242637752797757440,深圳市火苹果科技有限公司,,
1242637869747535872,深圳市智力达自动化设备有限公司,,
1242638660143153152,深圳市鑫达橡塑有限公司,,
1242639109906759680,深圳市众先科技有限公司,,
1242639414782328832,深圳市奋兴科技发展有限公司,,
1242639883206393856,深圳市乐事通电子工业有限公司,,
1242641369562873856,深圳市隆源兴纸品包装有限公司,,
1242641486567178240,深圳清大电子科技有限公司,,
1242642133257551872,深圳市杰胜美模型科技有限公司,,
1242642141461610496,深圳市博澳能源技术开发有限公司,,
1242643620750688256,深圳鑫龙达橡塑制品有限公司,,
1242644293210865664,深圳市法尔克配电设备有限公司,,
1242645002421534720,深圳市天圣博五金制品有限公司,,
1242645737469116416,深圳市声之源电子有限公司,,
1242646935127457792,深圳市联兴丰科技有限公司,,
1242649217789329408,深圳市三人模具有限公司,,
1242650903354277888,深圳市万德昌科技有限公司,,
1242651645062414336,深圳江南騦黛迩服饰有限公司,,
1242651660832997376,深圳市英华精密工业有限公司,,
1242652318105600000,深圳市旷野实业有限公司,,
1242652852908720128,深圳市木村包装有限公司,,
1242653564635971584,深圳市鼎森电器科技有限公司,,
1242653730113847296,深圳市国华包装材料有限公司,,
1242654012579250176,深圳市禹龙通电子有限公司光明分公司,,
1242654466704932864,深圳市明仕康电子有限公司,,
1242655106839609344,深圳市鑫弘胜科技有限公司,,
1242655180755828736,深圳市金顺达纸品包装有限公司,,
1242655834232586240,深圳市小蜜蜂新材料有限公司,,
1242656385267662848,深圳市盈康胶粘制品有限公司,,
1242657047560847360,深圳市启科模具塑胶有限公司,,
1242658085634310144,深圳市昊天视讯科技有限公司,,
1242659635710656512,深圳市华世精工技术有限公司,,
1242660036790976512,深圳市清籁之音电声科技有限公司,,
1242660168731197440,深圳市众钜兴五金制品有限公司,,
1242660315049492480,深圳昌鸿鑫电子有限公司,,
1242661290820763648,深圳市维美德材料科技有限公司,,
1242661891289907200,深圳泰锋技术有限公司,,
1242666475332829184,深圳市粤丰电力设备有限公司,,
1242671238782910464,深圳市光明书院,,
1242673193643147264,深圳市易泰五金制品有限公司,,
1242679176968798208,深圳市源纺劳保用品有限公司,,
1242679786308894720,深圳市源纺劳保用品有限公司,,
1242680898332131328,白花社区,,
1242681652979695616,延昶商贸(深圳)有限公司,,
1242682244502388736,深圳市弘添实业有限公司,,
1242688872052162560,深圳市金蝶轩食品有限公司光明分公司,,
1242689379814604800,深圳市博天瑞智能卡有限公司,,
1242691441596039168,盛兴隆塑胶电子（深圳）有限公司楼村分公司,,
1242691636752809984,深圳市唯尔森实业有限公司,,
1242694194183536640,楼村社区,,
1242694758913015808,深圳科松技术有限公司,,
1242695633379262464,联积电子（深圳）有限公司,,
1242697102245494784,深圳市仁裕和科技有限公司,,
1242697708217565184,深圳市鸿事达科技有限公司,,
1242698081158299648,深圳市伏特能源股份有限公司,,
1242702379166466048,深圳市佳利兴五金制品有限公司,,
1242703948071043072,深圳市竞超电子有限公司,,
1242706840152702976,深圳市拓盈精密硅胶科技有限公司,,
1242708002255929344,深圳市创联科精密模具有限公司,,
1242708798217388032,深圳市兴威格科技有限公司,,
1242709736416083968,西田社区,,
1242717018528940032,深圳市东昊塑胶材料有限公司,,
1242718552037785600,深圳市安畅汽车电子科技有限公司,,
1242718982419513344,深圳市格泰光电科技有限公司,,
1242722400236208128,深圳胜派科技有限公司,,
1242722984267874304,深圳市家吉消防工贸有限公司防火门厂,,
1242723471956377600,深圳市福斯康姆智能科技有限公司光明分公司,,
1242724194643345408,深圳市杰斯康电子科技有限公司,,
1242724307105218560,深圳市佳瑞运动制品有限公司,,
1242724393818259456,深圳市志文印刷有限公司,,
1242726494027907072,深圳市雅盛康科技有限公司,,
1242728476776071168,深圳市凯捷胜科技有限公司,,
1242728856922619904,深圳市金瑞龙特种线材有限公司,,
1242729992488484864,深圳深沪标准件实业有限公司制造厂,,
1242732898138718208,深圳市宏鸣塑胶有限公司,,
1242743294497128448,深圳市钛鑫电子科技有限公司,,
1242770892291833856,深圳市远望谷信息技术股份有限公司光明分公司,,
1242789546848944128,深圳市经纬动力科技有限公司,,
1242798739190448128,深圳和而泰智能控制股份有限公司生产厂,,
1242959918198161408,深圳市新视窗科技有限公司,,
1242965903826485248,楼村喜德盛公司,,
1242968249117704192,电连技术股份有限公司深圳分公司,,
1242968595630129152,深圳市博鑫康科技有限公司,,
1242971054180139008,深圳市沃富康科技有限公司,,
1242971850321952768,深圳市喜德盛股份有限公司自行,,
1242975192888639488,田寮社区,,
1242976033565573120,楼村新村十巷902,,
1242980063972950016,深圳市万年硅科技有限公司,,
1242982244721623040,深圳市精良精密科技有限公司,,
1242983014372212736,深圳市友晖,,
1242984789032566784,深圳市祺升箱包制品有限公司,,
1242988323543187456,深圳市喜德盛自行车有限公,,
1242989584426467328,大福自动搬送设备（苏州）有限公司深圳分公司,,
1242990591084593152,深圳市浩源盛五金有限公司,,
1242993009172152320,深圳瑞航时代电子有限公司,,
1242996749954449408,深圳市万音信息科技有限公司,,
1242998258616238080,深圳市海讯高科技术有限公司,,
1242998689346093056,深圳鑫瑞隆精密机械有限公司,,
1243000005300584448,深圳市敏达新电气有限公司,,
1243000796430204928,楼村新村十巷,,
1243003091884703744,深圳市富邦线束有限公司,,
1243003109471420416,深圳鑫浩成贸易有限公司,,
1243004605189586944,深圳市南天福和科技有限公司,,
1243004778020077568,楼村新村,,
1243005097751871488,深圳市宝安区松岗振业塑胶工艺品厂,,
1243005161366880256,深圳市顺佳能源有限公司,,
1243008369778753536,深圳市合佳达科技有限公司,,
1243009749214035968,深圳市新太工热能设备有限公司,,
1243010884268195840,敖翔工业园,,
1243012164487217152,深圳市佳宏远科技有限公司,,
1243012803179053056,深圳市稔山添利包装之前有限公司,,
1243014174720655360,深圳华创科工科技有限公司,,
1243014226780356608,深圳市新诚旺科技有限公司,,
1243014616636719104,深圳市猎芯科技有限公司,,
1243014931016581120,深圳本旺进出口贸易有限公司,,
1243016107644682240,深圳市合思创电力科技有限公司,,
1243017202144116736,深圳能升科技有限公司,,
1243017306146078720,深圳市华智精密模具有限公司,,
1243019146229186560,深圳市中锐创,,
1243022925112541184,德瑞（深圳）信息技术有限公司,,
1243023316751482880,深圳市和盛精密模具厂,,
1243024150105161728,深圳市协燊科技有限公司,,
1243024189888135168,深圳市扬华五金制造有限公司,,
1243024462194933760,深圳市鑫源旺科技开发有限公司,,
1243033519148498944,深圳市伟凯龙电子科技有限公司,,
1243033814343614464,深圳市吉美斯制冷设备有限公司,,
1243036088163893248,深圳市光明区新湖街道,,
1243037141177466880,深圳市鼎基精密工业有限公司,,
1243037762295169024,深圳鑫湘通物流有限公司,,
1243045805619675136,深圳市金正鸿科技有限公司,,
1243056748680445952,深圳亨丰塑化材料有限公司,,
1243058630098419712,深圳市华磊服装衬布有限公司,,
1243058843919843328,深圳中诺检测技术有限公司,,
1243070721286995968,深圳市义信诚光电有限公司,,
1243070758763102208,吉美斯制冷设备有限公司,,
1243071063496065024,深圳彻斯纳特科技有限公司,,
1243074484701757440,楼村喜德盛自行车有限公司,,
1243075122781224960,深圳市云浩电子线有限公司,,
1243075325202530304,深圳市华欣荣塑胶电子有限公司,,
1243078143128895488,深圳市埃斯克伊电子有限公司,,
1243078914528509952,深圳市德飞隆科技有限公司,,
1243080475413577728,深圳市好嘉美包装材料有限公司,,
1243081140097515520,深圳市富利珂包装有限公司,,
1243081170145509376,金鼎宝五金制品（深圳）有限公司,,
1243081243390640128,深圳市欣润实业有限公司,,
1243081612338397184,深圳深创科技有限公司,,
1243081756446294016,深圳市裕池科技有限公司,,
1243082192242868224,深圳市朗华供应链服务有限公司（楼村仓库）,,
1243083107637133312,深圳市上水电子有限公司,,
1243083153988386816,海洋纸品印刷（深圳）有限公司,,
1243083234317697024,深圳市兴劲利科技工业有限公司,,
1243083273941286912,深圳市鼎泰铭科技有限公司,,
1243083302693240832,深圳市旭发投资有限公司,,
1243083946640539648,深圳市富友机械设,,
1243084123900215296,深圳市深水光明水务有限公司,,
1243084263675396096,深圳市柜族集成房屋有限公司,,
1243084512368263168,深圳市鑫翰海物业有限公司,,
1243084678181683200,深圳市新纶科技股份有限公司,,
1243084754547376128,深圳市清禾实业发展有限公司,,
1243084849594499072,深圳市本日五金制品有限公司,,
1243085310561091584,深圳市乐航车载多媒体有限公司,,
1243086079582535680,深圳市宏强鑫电子有限公司,,
1243086113589952512,深圳市维特辐照有限公司,,
1243086330087342080,中广核戈瑞（深圳）科技有限公司,,
1243086374752485376,深圳市晟辉机械有限公司,,
1243086763077926912,深圳市亿鹏达玻璃制品有限公司,,
1243086965738307584,深圳市永泰精密组件有限公司,,
1243087072311377920,深圳市拓盛新材料科技有限公司,,
1243087321557893120,深圳市卫光生物制品股份有限公司,,
1243087823897100288,凯铭诺（深圳）科技有限公司,,
1243088317377937408,深圳凡曦电子商务有限公司,,
1243088404615266304,深圳市永晟门窗工程有限公司,,
1243088494646001664,深圳市鸿雁物流装备有限公司,,
1243088640851050496,深圳欣旺达智能科技有限公司,,
1243089257979969536,深圳市喜途运动用品有限公司,,
1243089798227296256,TCL华星光电技术有限公司,,
1243090044596518912,深圳市熙诚环保科技有限公司,,
1243090054922895360,深圳大工人电动缸技术有限公司,,
1243090279292993536,深圳市蓝泰塑胶电子有限公司,,
1243090612215873536,深圳科士达科技股份有限公司,,
1243090689416232960,深圳市沃佳尔科技有限公司,,
1243090695749632000,深圳市创智触控科技有限公司,,
1243090731501879296,深圳市华赛智能电子科技有限公司,,
1243090973290921984,深圳格瑞特电子科技有限公司,,
1243090983399194624,深圳市金特安实业有限公司,,
1243091225708331008,深圳市通天利精密五金塑胶有限公司,,
1243091317429370880,深圳天地宽视信息科技有限公司,,
1243091550095802368,深圳金宏飞龙电子有限公司,,
1243091769663422464,新星轻合金股份有限公司,,
1243091839372754944,深圳市鸿诺专显科技有限公司,,
1243091934159831040,杜邦太阳能(深圳 )有限公司,,
1243092272430448640,深圳市爱尔信五金电子有限公司,,
1243092430832533504,深圳铭朗光电材料有限公司,,
1243092878331215872,深圳市鸿图环保科技有限公司,,
1243093065799827456,深圳市鸿亿鑫机电有限公司,,
1243093115233894400,深圳市永诚辉电子有限公司,,
1243093375414960128,深圳合立源科技有限公司,,
1243093499708964864,深圳市宏图环保科技有限公司,,
1243093705997418496,深圳市金鑫福包装制品有限公司,,
1243094826736418816,深圳市远扬达精密机械有限公司,,
1243095613772398592,艾杰旭显示玻璃（深圳）有限公司,,
1243095800246960128,深圳丰业达科技有限公司,,
1243096362610851840,深圳市乐迪体育科技有限公司,,
1243096608992657408,深圳市工蜂家具研发制造有限公司,,
1243096629427306496,深圳市跨越速运有限公司光明新湖营业部,,
1243096959418368000,深圳市开顺达塑胶制品有限公司,,
1243097316320083968,深圳市鑫广悦科技有限公司,,
1243097348402315264,深圳市佳誉祥音响电子有限公司,,
1243097908698415104,深圳市赛斯电气技术有限公司,,
1243098173329637376,美冠世纪（深圳）科技有限公司,,
1243098394264600576,研祥智能生产厂,,
1243098736410755072,深圳市新星轻合金材料股份有限公司,,
1243098900445790208,旭硝子新型电子显示玻璃（深圳）有限公司,,
1243099516572270592,深圳永盛人防工程有限公司,,
1243100544789118976,深圳市佳彩包装材料有限公司,,
1243100767036899328,深圳市美佳爱科技有限公司,,
1243100849584996352,筱原精机(深圳)有限公司,,
1243101029738741760,广州捷世通物流股份有限公司深圳分公司,,
1243101072042491904,深圳市新恒基新材料有限公司,,
1243101486422949888,普联技术有限公司,,
1243102867590479872,深圳市翔宇诚科技有限公司,,
1243103346898763776,深圳市天道食品饮料有限公司,,
1243104525674348544,深圳市荣康电子有限公司,,
1243104756902133760,深圳市盛唐胶粘制品有限公司,,
1243104858186186752,深圳市康泰电气设备有限公司,,
1243104929770373120,深圳市完美显示有限公司,,
1243105094224838656,深圳鸿瑞建筑劳务有限公司,,
1243105135660367872,联合微创医疗器械（深圳）有限公司,,
1243105225418473472,深圳市冠辰达文化用品有限公司,,
1243105472911769600,嘉宾彩印（深圳）有限公司,,
1243105519636316160,深圳市正威科技有限公司,,
1243105913326272512,深圳勤本电子有限公司,,
1243105925640749056,深圳市丽尔科实业有限公司,,
1243106327853531136,深圳市富力达工业有限公司,,
1243106573920763904,摩比科技（深圳）有限公司,,
1243106663343325184,深圳市诚威新材料有限公司,,
1243107170971549696,深圳市智兴智造科技有限公司,,
1243107452518400000,深圳市合利富新材料科技有限公司,,
1243108399193784320,深圳市留洋机电科技有限公司,,
1243108415438323712,深圳市荣越科技有限公司,,
1243108534338453504,深圳市鑫合精密科技有限公司,,
1243108566353575936,深圳市宸泰五金制品有限公司,,
1243108794393690112,深圳市合利富新材料科技有限,,
1243108845086048256,深圳市创达美电子材料有限公司,,
1243109200674947072,深圳市精豪五金压铸有限公司,,
1243109480741208064,宇协五金（深圳）有限公司,,
1243110294671065088,深圳市顺博绝缘材料制造有限公司,,
1243110311225982976,深圳市福瑞达显示技术有限公司,,
1243111941975572480,深圳市盛格纳电子有限公司,,
1243112025874235392,捷鹏塑胶（深圳）有限公司,,
1243112536459444224,深圳市运泰利自动化设备有限公司,,
1243112772993024000,天伟装配时计（深圳）有限公司,,
1243113420794888192,深圳市铭诚伟业科技有限公司,,
1243113691201667072,深圳市同创铜业有限公司,,
1243113827046785024,同创铜业有限公司,,
1243113912975491072,深圳市华利阳电子有限公司,,
1243115104514342912,深圳市宏贯光电科技有限公司,,
1243115491325640704,普尼克电子（深圳）有限公司,,
1243115710268309504,深圳市海科模具科技有限公司,,
1243115872235552768,广东省深圳市宝瑞明科技有限公司,,
1243115915126505472,深圳市科陆电子科技股份有限公司,,
1243116175487926272,深圳市鸿安华科技有限公司,,
1243116224720666624,深圳乘方电机有限公司,,
1243116282585284608,宝利时计深圳有限公司,,
1243117253772181504,深圳禾苗通信科技有限公司光明分公司,,
1243117454545125376,深圳市柏信达电子科技有限公司,,
1243117954774597632,中泰制衣（深圳）有限公司,,
1243118023926087680,宝利时计表业（深圳）有限公司,,
1243118681832030208,宝利时计表业深圳有限公司,,
1243119141494194176,星联钢网(深圳)有限公司,,
1243119657645244416,深圳市鑫恒友机械有限公司,,
1243119981030277120,宝利时计（深圳）有限公司,,
1243120323679748096,深圳市晶锐光电有限公司,,
1243121190373949440,深圳市广德盛科技有限公司,,
1243121886498390016,深圳市理泽欣科技有限公司,,
1243122376099495936,深圳市盛和新电子有限公司（联益润）,,
1243122826597105664,深圳宝峰印刷有限公司,,
1243123347466747904,深圳市运泰利自动化设备有限公司,,
1243123512583913472,宝利时计（深圳）有限公司,,
1243123933805281280,塘尾社区,,
1243125372262809600,同创铜业有限公司,,
1243125402528907264,玉律社区,,
1243125623459676160,深圳市创仁科技有限公司,,
1243126905356419072,深圳市电连旭发技术有限公司,,
1243127767457857536,深圳市宝瑞明科技,,
1243128216676204544,深圳市图腾电气技术有限公司,,
1243128619388108800,龙强,,
1243128895700467712, 深圳市鸿伟源科技有限公司,,
1243129008875372544,深圳市丰达五金有限公司,,
1243129370776698880,深圳市灏颖有限公司,,
1243129642513072128,深圳市东海五金制品有限公司,,
1243129798968999936,深圳运泰利自动化设备有限公司,,
1243130423458922496,深圳市众力创精密制造有限公司,,
1243130881846018048,深圳市百康光电有限公司,,
1243131829934882816,深圳市德顺手袋制品有限公司,,
1243132184554897408,龙强100栋,,
1243132254809489408,深圳市众鑫盛光电科技有限公司,,
1243132591175892992,宝利时计表业,,
1243133938768019456,龙强100,,
1243135323865612288,玉律一区,,
1243137663301582848,深圳市创丰环保包装材料有限公司,,
1243138446512357376,深圳市龙强精密工业有限公司,,
1243139356936372224,上海欧菲智能车联科技有限公司,,
1243140332606980096,欧菲光集团,,
1243143126869082112,凤凰街道塘家社区,,
1243143772754149376,宝瑞明,,
1243143952333275136,石家社区,,
1243144734549999616,深圳市喜德盛自行车股份,,
1243146898945081344,深圳市安鹏精工有限公司,,
1243151871095341056,深圳市海翔铭实业有限公司,,
1243152134917062656,万泰磁电（深圳）有限公司,,
1243152343927619584,深圳市麦士德福科技股份有限公司,,
1243157472923877376,玉塘街道,,
1243157708924780544,奥特宝家饰(深圳)有限公司,,
1243160787103514624,深圳乐康婷实业有限公司,,
1243162983987675136,深圳市禹龙通电子有限公司,,
1243163522179792896,深圳市佳盛鑫科技有限公司,,
1243169776155492352,深圳市双展润滑科技有限公司,,
1243174453739782144,佳安远景精密模具（深圳）有限公司,,
1243196886999891968,深圳迈凯诺股份有限公司,,
